,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
505,"Pretzels, soft",100 g,338,3.1g,0.7g,0,545.00 mg,17.7 mg,24.00 mcg,0.00 mcg,4.270 mg,0,0.290 mg,0.410 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,17.00 mcg,0,0.00 mcg,0.020 mg,0.0 mg,0.00 IU,0.54 mg,0.54 mg,2.7 mcg,23.00 mg,0.126 mg,3.92 mg,21.00 mg,0,79.00 mg,88.00 mg,17.2 mcg,0.94 mg,8.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.39 g,1.7 g,0.25 g,0,0,0,0,0,0,3.10 g,0.695 g,1.071 g,0.948 g,0.00 mg,0.0 g,4.31 g,0.00 mg,0.00 mg,15.00 g
506,"Quinoa, cooked",100 g,120,1.9g,0.2g,0,7.00 mg,23.0 mg,42.00 mcg,0.00 mcg,0.412 mg,0,0.110 mg,0.107 mg,5.00 IU,0.00 mcg,0.00 mcg,3.00 mcg,0.00 mcg,53.00 mcg,0,0.00 mcg,0.123 mg,0.0 mg,0.00 IU,0.63 mg,0.63 mg,0.0 mcg,17.00 mg,0.192 mg,1.49 mg,64.00 mg,0.631 mg,152.00 mg,172.00 mg,2.8 mcg,1.09 mg,4.40 g,0.183 g,0.340 g,0.353 g,0.063 g,0.580 g,0.216 g,0.127 g,0,0.157 g,0.261 g,0.239 g,0.096 g,0.185 g,0.240 g,0.176 g,0.131 g,0.052 g,0.083 g,0.185 g,21.30 g,2.8 g,0.87 g,0,0,0,0,0,0,1.92 g,0.231 g,0.528 g,1.078 g,0.00 mg,0.0 g,0.76 g,0.00 mg,0.00 mg,71.61 g
507,"Plantains, raw",100 g,122,0.4g,0.1g,0,4.00 mg,13.5 mg,22.00 mcg,0.00 mcg,0.686 mg,0.260 mg,0.054 mg,0.052 mg,1127.00 IU,56.00 mcg,438.00 mcg,457.00 mcg,0.00 mcg,30.00 mcg,0,0.00 mcg,0.299 mg,18.4 mg,0.00 IU,0.14 mg,0.14 mg,0.7 mcg,3.00 mg,0.081 mg,0.60 mg,37.00 mg,0,34.00 mg,499.00 mg,1.5 mcg,0.14 mg,1.30 g,0.051 g,0.108 g,0.108 g,0.020 g,0.116 g,0.045 g,0.064 g,0,0.036 g,0.059 g,0.060 g,0.017 g,0.044 g,0.050 g,0.041 g,0.034 g,0.015 g,0.032 g,0.046 g,31.89 g,2.3 g,15.00 g,0,0,0,0,0,0,0.37 g,0.143 g,0.032 g,0.069 g,0.00 mg,0.0 g,1.17 g,0.00 mg,0.00 mg,65.28 g
508,"Parsley, fresh",100 g,36,0.8g,0.1g,0,56.00 mg,12.8 mg,152.00 mcg,0.00 mcg,1.313 mg,0.400 mg,0.098 mg,0.086 mg,8424.00 IU,421.00 mcg,0.00 mcg,5054.00 mcg,0.00 mcg,5561.00 mcg,0,0.00 mcg,0.090 mg,133.0 mg,0.00 IU,0.75 mg,0.75 mg,1640.0 mcg,138.00 mg,0.149 mg,6.20 mg,50.00 mg,0.160 mg,58.00 mg,554.00 mg,0.1 mcg,1.07 mg,2.97 g,0.195 g,0.122 g,0.294 g,0.014 g,0.249 g,0.145 g,0.061 g,0,0.118 g,0.204 g,0.181 g,0.042 g,0.145 g,0.213 g,0.136 g,0.122 g,0.045 g,0.082 g,0.172 g,6.33 g,3.3 g,0.85 g,0,0,0,0,0,0,0.79 g,0.132 g,0.295 g,0.124 g,0.00 mg,0.0 g,2.20 g,0.00 mg,0.00 mg,87.71 g
509,"Barley, hulled",100 g,354,2.3g,0.5g,0,12.00 mg,0,19.00 mcg,0.00 mcg,4.604 mg,0.282 mg,0.285 mg,0.646 mg,22.00 IU,1.00 mcg,0.00 mcg,13.00 mcg,0.00 mcg,160.00 mcg,0,0.00 mcg,0.318 mg,0.0 mg,0.00 IU,0.57 mg,0.57 mg,2.2 mcg,33.00 mg,0.498 mg,3.60 mg,133.00 mg,1.943 mg,264.00 mg,452.00 mg,37.7 mcg,2.77 mg,12.48 g,0.486 g,0.625 g,0.779 g,0.276 g,3.261 g,0.452 g,0.281 g,0,0.456 g,0.848 g,0.465 g,0.240 g,0.700 g,1.484 g,0.527 g,0.424 g,0.208 g,0.358 g,0.612 g,73.48 g,17.3 g,0.80 g,0,0,0,0,0,0,2.30 g,0.482 g,0.295 g,1.108 g,0.00 mg,0.0 g,2.29 g,0.00 mg,0.00 mg,9.44 g
510,"Cheese, romano",100 g,387,27g,17g,104mg,1433.00 mg,15.4 mg,7.00 mcg,0.00 mcg,0.077 mg,0.424 mg,0.370 mg,0.037 mg,415.00 IU,96.00 mcg,0.00 mcg,69.00 mcg,0.00 mcg,0.00 mcg,0,1.12 mcg,0.085 mg,0.0 mg,20.00 IU,0.23 mg,0.23 mg,2.2 mcg,1064.00 mg,0.030 mg,0.77 mg,41.00 mg,0.020 mg,760.00 mg,86.00 mg,14.5 mcg,2.58 mg,31.80 g,0.932 g,1.171 g,1.989 g,0.209 g,7.302 g,0.553 g,1.231 g,0,1.685 g,3.071 g,2.941 g,0.852 g,1.710 g,3.718 g,1.840 g,1.171 g,0.429 g,1.775 g,2.183 g,3.63 g,0.0 g,0.73 g,0,0,0,0,0,0,26.94 g,17.115 g,7.838 g,0.593 g,104.00 mg,0.0 g,6.72 g,0.00 mg,0.00 mg,30.91 g
511,Dulce de Leche,100 g,315,7.4g,4.5g,29mg,129.00 mg,89.1 mg,11.00 mcg,0.00 mcg,0.210 mg,0.835 mg,0.405 mg,0.016 mg,267.00 IU,74.00 mcg,0.00 mcg,14.00 mcg,0.00 mcg,0.00 mcg,0,0.31 mcg,0.016 mg,2.6 mg,6.00 IU,0.20 mg,0.20 mg,1.3 mcg,251.00 mg,0.004 mg,0.17 mg,22.00 mg,0.002 mg,193.00 mg,350.00 mg,2.7 mcg,0.79 mg,6.84 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.35 g,0.0 g,49.74 g,0.32 g,1.03 g,1.70 g,4.92 g,0.00 g,41.77 g,7.35 g,4.534 g,2.143 g,0.375 g,29.00 mg,0.0 g,1.74 g,0.00 mg,0.00 mg,28.71 g
512,"Radicchio, raw",100 g,23,0.3g,0.1g,0,22.00 mg,10.9 mg,60.00 mcg,0.00 mcg,0.255 mg,0.269 mg,0.028 mg,0.016 mg,27.00 IU,1.00 mcg,0.00 mcg,16.00 mcg,0.00 mcg,8832.00 mcg,0,0.00 mcg,0.057 mg,8.0 mg,0.00 IU,2.26 mg,2.26 mg,255.2 mcg,19.00 mg,0.341 mg,0.57 mg,13.00 mg,0.138 mg,40.00 mg,302.00 mg,0.9 mcg,0.62 mg,1.43 g,0,0.105 g,0,0,0,0,0.024 g,0,0.085 g,0.062 g,0.056 g,0.008 g,0.034 g,0,0,0.040 g,0.026 g,0,0.065 g,4.48 g,0.9 g,0.60 g,0,0,0,0,0,0,0.25 g,0.060 g,0.010 g,0.110 g,0.00 mg,0.0 g,0.70 g,0.00 mg,0.00 mg,93.14 g
513,"Bulgur, cooked",100 g,83,0.2g,,0,5.00 mg,6.9 mg,18.00 mcg,0.00 mcg,1.000 mg,0.344 mg,0.028 mg,0.057 mg,2.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,54.00 mcg,0,0.00 mcg,0.083 mg,0.0 mg,0.00 IU,0.01 mg,0.01 mg,0.5 mcg,10.00 mg,0.075 mg,0.96 mg,32.00 mg,0.609 mg,40.00 mg,68.00 mg,0.6 mcg,0.57 mg,3.08 g,0.109 g,0.144 g,0.158 g,0.071 g,0.973 g,0.124 g,0.071 g,0,0.114 g,0.208 g,0.085 g,0.048 g,0.145 g,0.320 g,0.145 g,0.089 g,0.048 g,0.090 g,0.139 g,18.58 g,4.5 g,0.10 g,0,0,0,0,0,0,0.24 g,0.042 g,0.031 g,0.098 g,0.00 mg,0.0 g,0.34 g,0.00 mg,0.00 mg,77.76 g
514,"Tempeh, cooked",100 g,195,11g,3.4g,0,14.00 mg,0,21.00 mcg,0.00 mcg,2.135 mg,0.453 mg,0.357 mg,0.054 mg,0,0,0,0,0,0,0,0.14 mcg,0.199 mg,0,0.00 IU,0,0,0,96.00 mg,0.540 mg,2.13 mg,77.00 mg,1.285 mg,253.00 mg,401.00 mg,0.0 mcg,1.57 mg,19.91 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62 g,0,0,0,0,0,0,0,0,11.38 g,3.400 g,3.745 g,2.638 g,0,0,1.53 g,0,0,59.56 g
